y,ds
162.3361923820818503,2020-01-16
168.8496498645779306,2020-01-17
172.3927702541555350,2020-01-18
170.4264169328665417,2020-01-19
166.1695752057643327,2020-01-20
168.0921032042616801,2020-01-21
168.5769792583452521,2020-01-22
163.4764228601000388,2020-01-23
160.9237172447037670,2020-01-24
160.5179577820138118,2020-01-25
163.8076559415974956,2020-01-26
168.8234636264918409,2020-01-27
172.0158484707867600,2020-01-28
176.2726972217198876,2020-01-29
176.7920334816269504,2020-01-30
180.7611857046343141,2020-01-31
182.0537243442924934,2020-02-01
187.7273017331421761,2020-02-02
189.6591987813452375,2020-02-03
187.6537656253028659,2020-02-04
195.6314204160506142,2020-02-05
209.4032005823248924,2020-02-06
219.5291220230094810,2020-02-07
222.8233034681884116,2020-02-08
227.2527155158800290,2020-02-09
222.6421132322355103,2020-02-10
226.1283260507972554,2020-02-11
255.5718601977703223,2020-02-12
267.9316579030460529,2020-02-13
272.2672006257887494,2020-02-14
277.2569469720339769,2020-02-15
263.2525291936206563,2020-02-16
253.9137345083130416,2020-02-17
272.1871706455293396,2020-02-18
278.2259203318275996,2020-02-19
258.0688586330471163,2020-02-20
263.0519245526457147,2020-02-21
262.8496427942971691,2020-02-22
270.7417553951414230,2020-02-23
268.0618005162918445,2020-02-24
257.1115086133000260,2020-02-25
234.9666637381070096,2020-02-26
227.4678555433246973,2020-02-27
225.9938456869756466,2020-02-28
227.3826474521126618,2020-02-29
221.1661726395223020,2020-03-01
226.2772710448689648,2020-03-02
227.4918793931794800,2020-03-03
224.9348419125099541,2020-03-04
230.4609711026404202,2020-03-05
236.5850823671292501,2020-03-06
243.7383807387465740,2020-03-07
224.1168590725626254,2020-03-08
200.9839637335843881,2020-03-09
202.2140010781607319,2020-03-10
196.8939299181239703,2020-03-11
155.2238980104370783,2020-03-12
125.0735336424223256,2020-03-13
129.5935450366736892,2020-03-14
124.2456320967637549,2020-03-15
113.3777186185014384,2020-03-16
118.5727277979418575,2020-03-17
115.3892372974079718,2020-03-18
126.4075505898318001,2020-03-19
138.5034494403681326,2020-03-20
132.0405224968396077,2020-03-21
130.3018592200979020,2020-03-22
127.6619826128052586,2020-03-23
137.7098789217588982,2020-03-24
137.1852363824638934,2020-03-25
135.9262411645560947,2020-03-26
137.3208105156873691,2020-03-27
129.0432154193262521,2020-03-28
128.6340482945764786,2020-03-29
131.0166670602542542,2020-03-30
132.8231108095293243,2020-03-31
131.9451686423059989,2020-04-01
138.8076173167348561,2020-04-02
142.4181975491113281,2020-04-03
142.2747411526931838,2020-04-04
143.4804905783623588,2020-04-05
155.3906316552944050,2020-04-06
170.6383650515980707,2020-04-07
169.9044350477421581,2020-04-08
170.7067733559408683,2020-04-09
160.3188027633289335,2020-04-10
158.4031306187276146,2020-04-11
159.9883464055655652,2020-04-12
154.2397955551289264,2020-04-13
158.6336557158939405,2020-04-14
158.1142006382573288,2020-04-15
165.3554689508910849,2020-04-16
170.8222530986221131,2020-04-17
178.0569178109980248,2020-04-18
182.9716316706596886,2020-04-19
178.9581536680690798,2020-04-20
171.8625387345626783,2020-04-21
177.3175279569430591,2020-04-22
185.2398240840665440,2020-04-23
187.6780756326172804,2020-04-24
192.5244156875926171,2020-04-25
195.1833709052666228,2020-04-26
195.3788672666000965,2020-04-27
195.6999896661896746,2020-04-28
207.6676655296895226,2020-04-29
214.0615056165968552,2020-04-30
211.5130685363227404,2020-05-01
213.0165750985858546,2020-05-02
212.8979231296923360,2020-05-03
203.4060405748374135,2020-05-04
205.8652765655784118,2020-05-05
206.9495714549440188,2020-05-06
207.0152408231152350,2020-05-07
212.1582773479857789,2020-05-08
212.2108437879101705,2020-05-09
188.8688190027564176,2020-05-10
187.1887044728106246,2020-05-11
189.4876087346364288,2020-05-12
193.6920987688446747,2020-05-13
200.8497029695858586,2020-05-14
198.9591389736578719,2020-05-15
199.9755582251339420,2020-05-16
204.3634237064934829,2020-05-17
212.8444992339045685,2020-05-18
212.4994760877381292,2020-05-19
212.1893216875343036,2020-05-20
204.5746161411094605,2020-05-21
203.1160835712296081,2020-05-22
207.8250531367271703,2020-05-23
207.2563647414745548,2020-05-24
203.3387995819840589,2020-05-25
202.1958606105304505,2020-05-26
204.8178640107842823,2020-05-27
210.1342686226827266,2020-05-28
220.5155815632443852,2020-05-29
232.4699044477796656,2020-05-30
237.3980273557353015,2020-05-31
238.6493989897746548,2020-06-01
244.0116750485969879,2020-06-02
238.8432783903599317,2020-06-03
243.0913114693125432,2020-06-04
242.6902584451301084,2020-06-05
241.2722151082513474,2020-06-06
240.6081862502195363,2020-06-07
243.3517837684392015,2020-06-08
243.4541997302683395,2020-06-09
244.5073629330009363,2020-06-10
241.6992131380494817,2020-06-11
235.6069010030186117,2020-06-12
236.8163470740730840,2020-06-13
235.7442077300062793,2020-06-14
227.1865339041631318,2020-06-15
233.2803385923264978,2020-06-16
233.0662168974122692,2020-06-17
232.3705092931168410,2020-06-18
229.3937267505399942,2020-06-19
228.6772230160555793,2020-06-20
229.7878282230531631,2020-06-21
237.8428724622044735,2020-06-22
243.0921604453300425,2020-06-23
239.9233222112636061,2020-06-24
233.2642442566041880,2020-06-25
230.8832317701670445,2020-06-26
227.3313579069739855,2020-06-27
222.9548911193657945,2020-06-28
224.9551280168288414,2020-06-29
226.4035210425176203,2020-06-30
228.3212231346751007,2020-07-01
228.6001314594993255,2020-07-02
226.8503163335838093,2020-07-03
226.9970192685716796,2020-07-04
226.7132587316298762,2020-07-05
234.4002338717884396,2020-07-06
238.4456008677038600,2020-07-07
243.4826059081023532,2020-07-08
243.9739448671916995,2020-07-09
239.5446782607302650,2020-07-10
239.8592794830670582,2020-07-11
239.8363740954473653,2020-07-12
242.3348879338038090,2020-07-13
239.7355381417615283,2020-07-14
239.3250922512375642,2020-07-15
234.4433224745756523,2020-07-16
233.3094195599526541,2020-07-17
234.6495118466233545,2020-07-18
235.2164342909574472,2020-07-19
238.1656720562890944,2020-07-20
241.9774140984691576,2020-07-21
245.7794519108074843,2020-07-22
267.8119167916876870,2020-07-23
276.1788951380173044,2020-07-24
288.5697543925739951,2020-07-25
307.9752465191060013,2020-07-26
322.8516545090655152,2020-07-27
317.8969752231268526,2020-07-28
320.6304119052611030,2020-07-29
322.6569853212004315,2020-07-30
340.3087854047756272,2020-07-31
361.8779542197580141,2020-08-01
379.0094891920525798,2020-08-02
387.2698838225645210,2020-08-03
391.1557623046040526,2020-08-04
394.4137028220723304,2020-08-05
396.7778879290850570,2020-08-06
388.9415759199496059,2020-08-07
385.8954118357921672,2020-08-08
391.8405600088709857,2020-08-09
395.0445036557291754,2020-08-10
387.7008498498431249,2020-08-11
381.2634985165554957,2020-08-12
395.0865971029350861,2020-08-13
429.7222735751033765,2020-08-14
436.1778091748549096,2020-08-15
428.0305679534467047,2020-08-16
431.1589854502244610,2020-08-17
427.9409435899720472,2020-08-18
411.6793389757566594,2020-08-19
411.7052712967523264,2020-08-20
406.2933251270657684,2020-08-21
389.6371780743217567,2020-08-22
390.9993122746985742,2020-08-23
400.8501234286984638,2020-08-24
391.4481290890478338,2020-08-25
385.4353939861565661,2020-08-26
383.7012577814998100,2020-08-27
391.2074432758926035,2020-08-28
